id,created_at,full_text
1.23819E+18,Thu Mar 12 19:45:51 +0000 2020,All my friends busy today : ( 
1.23819E+18,Thu Mar 12 19:45:09 +0000 2020,Considering skipping class to have a beer and watch trash tv because 
1.23819E+18,Thu Mar 12 19:44:28 +0000 2020,Miss this boy 
1.23819E+18,Thu Mar 12 19:43:59 +0000 2020,How are you feeling today ? 🤍-Hapy 💜-Sad 🤎-OK 💛-Lonely 💔-Depresed 🖤-Lost 💙-Upset 💞-Ned friends If you are feeling any of these tweet below or feel free to dm me ! 💚💝💟 
1.23819E+18,Thu Mar 12 19:43:11 +0000 2020,My last dance performance ever was in November and I didn ’ t even know it . 
1.23819E+18,Thu Mar 12 19:42:47 +0000 2020,"SERIOUSLY folks , is n't it PATENTLY UNFAIR that # MitchMcConel 's campaign has FULL ACCESS to Dem # Amy…"
1.23819E+18,Thu Mar 12 19:40:55 +0000 2020,They got money for wars but ca n't feed the poor this world is ass backwards 
1.23819E+18,Thu Mar 12 19:40:06 +0000 2020,"TFW you google vain dude who dumped you so callously . Known for his `` genius '' talent and surrounded by admirers , with a como…"
1.23819E+18,Thu Mar 12 19:37:24 +0000 2020,# BREAKING : So # SupremeCourt which could settle ALL legal questions surrounding # Trump THIS YEAR sparing us a constitutional…
1.23819E+18,Thu Mar 12 19:36:37 +0000 2020,"Guys I ’ m crying , what would u do ? 🥺😖😭😔 "
1.23819E+18,Thu Mar 12 19:34:42 +0000 2020,NO HOCKEY ! NO BASEBALL ! WHAT AM I GOING TO DO ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! I HAVE NO SPORTS LEFT ! ! ! ! ! ! 
1.23819E+18,Thu Mar 12 19:34:23 +0000 2020,I get this is a pandemic but realizing the sick leave policy for # coronavirus # COVID2019 is better than # maternityleave makes me 
1.23819E+18,Thu Mar 12 19:34:18 +0000 2020,"Intellectually , I know all these attempts to flatten the curve , while appropriate , are going to hurt the livelihoods of countless individuals ; but I doubt I 'l have a stronger emotional response than I did hearing my 4yo 's soccer season was cancelled . "
1.23819E+18,Thu Mar 12 19:34:14 +0000 2020,Sorry I understand how decimal points work . I 've heard some folks have trouble with that . 
1.23819E+18,Thu Mar 12 19:32:49 +0000 2020,"Oh wait , Your Truly found the answer👇 -- # MSM knows ex…"
1.23819E+18,Thu Mar 12 19:32:44 +0000 2020,"Meanwhile # Trump IS ALLOWED TO ABUSE the federal court system to STALL on his # taxreturns , Congressional subpoenas , lawsuit…"
1.23819E+18,Thu Mar 12 19:32:02 +0000 2020,Cant leave the country nor state damn my spring break consist on not bein jammed up 
1.23819E+18,Thu Mar 12 19:30:43 +0000 2020,# sad-acts🤣
1.23819E+18,Thu Mar 12 19:29:36 +0000 2020,aparantly I am not as great at Pokemon that I thought . 
1.23819E+18,Thu Mar 12 19:29:21 +0000 2020,Acosta is pathetic . Clearly our enemy . That is his legacy . Oh and getting smacked down by POTUS on a continuing basis . We won ’ t forget that either .
1.23819E+18,Thu Mar 12 19:29:05 +0000 2020,Never have 
1.23818E+18,Thu Mar 12 19:27:29 +0000 2020,"TFW you google vain dude who dumped you so callously . Known for his `` genius '' talent and surrounded by admirers , with a common name but you could find him . And also 3 younger dudes with his same name in his field who are more well-known and successful than he is . "
1.23818E+18,Thu Mar 12 19:27:28 +0000 2020,"They say whatever you decide to do , do it well . Sometimes people forget that . "
1.23818E+18,Thu Mar 12 19:26:25 +0000 2020,Pissing in the wind . # sad …
1.23818E+18,Thu Mar 12 19:26:24 +0000 2020,Nothing more 
1.23818E+18,Thu Mar 12 19:25:30 +0000 2020,Trilogy of Terror ' did n't make the cut ? 
1.23818E+18,Thu Mar 12 19:25:28 +0000 2020,KFC rip off night not even 80 in either of the boxes we got 😤 
1.23818E+18,Thu Mar 12 19:25:24 +0000 2020,"Came to see my favorite team for the first time at spring training , but left disappointed 😔 "
1.23818E+18,Thu Mar 12 19:24:48 +0000 2020,So you are telling me you are out of stock and now i ca n't buy anything 😔 .. 
1.23818E+18,Thu Mar 12 19:24:16 +0000 2020,"# sad . : ( i also read they didnt know the dangers of rubbing alcohol and were getting poisoned with overexposure in fear against the disease . Same for americans , saw posts on facebok ( no longer using since its an abusive spy ap ? ) and people are sharing similar ideas . : ("
1.23818E+18,Thu Mar 12 19:24:12 +0000 2020,What are these members being payed to do every day ? ? ? ? ? First now they ’ re “ floored ” about the numbers ! ! ! OMG a kindergartener could have figured this out already . 
1.23818E+18,Thu Mar 12 19:24:00 +0000 2020,If he carried 300 kids at one time out of a burning building the Left would say he should have carried 400 . No matter what he says or does they will always be against him . 
1.23818E+18,Thu Mar 12 19:23:05 +0000 2020,Kenya 's rare white female giraffe 'kiled by poachers ' Just so # sad and # tragic Humanity should celebrate uniqueness in # …
1.23818E+18,Thu Mar 12 19:22:42 +0000 2020,"This # CoronavirusPandemic makes me # sad , # angry , and # frustrated !"
1.23818E+18,Thu Mar 12 19:22:31 +0000 2020,Some people have zero sense of humour 
1.23818E+18,Thu Mar 12 19:21:32 +0000 2020,"This Crap wo n't WORK this time , we remember Hillary Email of 2016 . The only Dementia I witnessed is Trump trying to lead during a Crisis , and struggling to read a prompter from the WH last night , Very Scary ! his Aides had to scramble to correct what he said to the Nation "
1.23818E+18,Thu Mar 12 19:20:55 +0000 2020,Hahahahahahahahahahahahahahahaha ( deep breath ) Hahahahahahahahahahahahahahahaha ... he 's more concerned with the market and yet there lies the irony . This clown is so in over his head and it 's literally killing people 
1.23818E+18,Thu Mar 12 19:20:33 +0000 2020,This is putting a damper on my social life ... 
1.23818E+18,Thu Mar 12 19:19:11 +0000 2020,"Folks , HOW MANY TIMES has Yours Truly told you # BigBrother # Surveillance is totally OUT OF CONTROL ? How do you just dig int…"
1.23818E+18,Thu Mar 12 19:18:29 +0000 2020,I do n't know what to say Was thinking about going through my gallery When I opened it My entire gallery of 896 pic…
1.23818E+18,Thu Mar 12 19:16:53 +0000 2020,This song was made with alot of personal feeling . Everybody Dies Alone By PerSonaZ # emo # beat # hiphop # Flstudio # love # sad…
1.23818E+18,Thu Mar 12 19:12:43 +0000 2020,Crying ✂️ : @ Twitter 
1.23818E+18,Thu Mar 12 19:12:23 +0000 2020,"It 's # funny / # sad how almost no one ever leaves a # review when it 's good , but they sure # LOVE to leave a bad one , whether it 's # true or not . "
1.23818E+18,Thu Mar 12 19:12:12 +0000 2020,"In the U.S. there 's money for Wall Street , but not for universal health care on Main Street . "
1.23818E+18,Thu Mar 12 19:11:57 +0000 2020,Run in front of an upcoming train ! 
1.23818E+18,Thu Mar 12 19:11:20 +0000 2020,This is tweet is nothing but a “ look at me white men b hitting on me ” 🤣 
1.23818E+18,Thu Mar 12 19:11:10 +0000 2020,So does this mean they 're not gon na fire the coach or the GM ... 
1.23818E+18,Thu Mar 12 19:10:04 +0000 2020,Trumpitis . The inflammatory response my body has when I realize that Trump is still in office .
1.23818E+18,Thu Mar 12 19:09:10 +0000 2020,WTH ... bailing out Wall Street screwing everyday Americans . 
1.23818E+18,Thu Mar 12 19:06:23 +0000 2020,19 credits is doable if 9 are online ya ? ? 😅😅😅 next semester will make me 
1.23818E+18,Thu Mar 12 19:03:39 +0000 2020,Trump : Americans in Europe WO N'T be allowed back with coronavirus via -- The chaos administration ! # sad ...
1.23818E+18,Thu Mar 12 19:02:46 +0000 2020,I miss my friends 
1.23818E+18,Thu Mar 12 19:02:37 +0000 2020,🚨🌎🤬💔😢💔😢 WTH ! ! # SICK # Sad # LockThemUp ! ! Where 's # PETA 🙄 ! # LoneyLefts ? ! 🙄 Ofcourse # crickets everywhe…
1.23818E+18,Thu Mar 12 19:02:33 +0000 2020,"and the don ’ t want widespread testing . At this point it would make them look like fkn idiots to show how bad this has gotten . Look at trump , 50/50 chance he ’ s got it . He ’ s met with 2 pl who does.. Still won ’ t call a # StateOfEmergency "
1.23818E+18,Thu Mar 12 19:01:54 +0000 2020,When you hear all sports are being suspended ... 
1.23818E+18,Thu Mar 12 19:00:34 +0000 2020,"This is the guy leading the nations response to the outbreak ? I ’ m guessing he is an expert at something , just not viruses ? After listening to him I somehow feel less safe and I ’ m probably going to get it like the other third of Americans ."
1.23818E+18,Thu Mar 12 19:00:25 +0000 2020,All the tech we review goes to our fans ! ! ! New show starts soon ! Do n't miss out ! ! ! Just stay tuned and fallow ... 
1.23818E+18,Thu Mar 12 18:59:42 +0000 2020,Crying ( NF | Wit Lowry | Emotional Sad Piano Type Beat ) Prod . by Trunxks via 
1.23818E+18,Thu Mar 12 18:59:00 +0000 2020,"So # sad to hear that # scholclosures are not happening . Why are we waiting to get # Corona and more to # die what is the surety that people would be there to get treatment if # ClosetheScholsuk not happening , I am a worrying "
1.23818E+18,Thu Mar 12 18:58:41 +0000 2020,"Did you see the Orange man in the WH last night ? he could n't even read what they put on the teleprompter , minutes later his Aides was in damage control trying to correct what he said or did n't say , not what we need from a POTUS . He looked and sound not very convincing ! "
1.23818E+18,Thu Mar 12 18:58:31 +0000 2020,🚨🌎🤬💔😢💔😢 WTH ! ! # SICK # Sad # LockThemUp ! ! Where 's # PETA 🙄 ! # LoneyLefts ? ! 🙄 Ofcourse # crickets everywhere ! # media 🚨🙏🏽 # Help the # animals please 🙏🏻
1.23818E+18,Thu Mar 12 18:58:20 +0000 2020,they have enough cash to wipe out suffering yet ignore it for greed # sad
1.23818E+18,Thu Mar 12 18:58:05 +0000 2020,"Amidst this tragic and debilitating virus , people still find the strength and power to give their newborn children horrific names that will make their lives even worse considering the world we leave them in . # sad"
1.23818E+18,Thu Mar 12 18:56:58 +0000 2020,"# caronavirusoutbreak will happen bc parents will send kids to school sick bc their employers wo n't let them stay home to take care of without punishment . Adults will go to work sick bc they can not afford to take a day off . This is how it happens , this is how sickness spreads # sad"
1.23818E+18,Thu Mar 12 18:55:26 +0000 2020,Not incorrect to think that this is # MarchMadnes # Sad
1.23818E+18,Thu Mar 12 18:55:20 +0000 2020,I just wanted to say I ’ m here for anyone who needs a friend or is depressed or just lonely please don ’ t feel like you wo…
1.23818E+18,Thu Mar 12 18:55:02 +0000 2020,"No , but I suppose facts are n't your thing . # sad Rush has terminal cancer from years of smoking . Do n't let the same happen to you . You 're not immortal ."
1.23818E+18,Thu Mar 12 18:54:32 +0000 2020,Wish i could be w my mcm everyday # sad
