id,created_at,full_text
1238164114809049088,Thu Mar 12 18:05:03 +0000 2020,"We accept # roleplayer s from other # realms in # wow as well ! # WRA , # ADEU , # EDEU to say a few ! We open our doors to all playe…"
1238163921791586304,Thu Mar 12 18:04:17 +0000 2020,"They injected $ 1.5 Trillion into the system today THE STOCKMARKET Went from -2,0 to -1,0 and then it just kept dropping now sits at -1,76"
1238163099460554752,Thu Mar 12 18:01:01 +0000 2020,Show your # Texas # love ! ! Sz : XL $ 10.9
1238162945420468224,Thu Mar 12 18:00:24 +0000 2020,# Wow . Week of Webinars . # jctEnglish – Reconecting With # Reading– Exploring # Graphic And # AudioTexts In # JuniorCycleEnglish . Wednesday 25th March . 6.15- 7.15pm . Register here👇
1238162917138325507,Thu Mar 12 18:00:18 +0000 2020,"The Guinness Factory in Dublin . Yep , that 's Staff in the middle ."
1238162905633300482,Thu Mar 12 18:00:15 +0000 2020,"Personal art dodlin ' . This is my paladin tauren , Spikadin ."
1238162860599054336,Thu Mar 12 18:00:04 +0000 2020,Salma Hayek ’ s daughter is probably the prettiest girl who ever existed 😍
1238162735378006016,Thu Mar 12 17:59:34 +0000 2020,Another
1238162735319248896,Thu Mar 12 17:59:34 +0000 2020,The cutest T-shirt to own ... # alterdhomestyle # tshirtdesign # tshirtlove # pufsleves # fashion # instastyle # shoplocal # northportvilage # sumervibes # wow # dresupordown • A must have ! @ Village of Northport
1238162711218880517,Thu Mar 12 17:59:28 +0000 2020,"Happy Rainy Thursday , love Stuey ."
1238162653660381185,Thu Mar 12 17:59:15 +0000 2020,"NEW PROPERTY📢📢 This 3 bed end of terrace has so much potential ! ! With a perfect sized garden😍 This property will go very quickly , do n't miss out😍 # kenilworth # wow # 3bed # newhome @ Brian Holt Kenilworth part of the…"
1238162503663747072,Thu Mar 12 17:58:39 +0000 2020,Just another Work From Home day .
1238162392376315904,Thu Mar 12 17:58:12 +0000 2020,"Let me tell you , ignorance is bliss ."
1238162152822837249,Thu Mar 12 17:57:15 +0000 2020,Sunlight☀️ March 2020 Photo By : Joseph Hil🙂📸☀️
